OBJECTID,BdVal,PctNum,BdName,ElectPct,Requests,Returns,PercentReturned,Party,ELECTNO_1,ELECTDATE,ELECTTTL,ELECTTL2,SHAPE__Area,SHAPE__Length
275,0536,536.0,MOUNTAIN GATE,0536,726,496,0.683195,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4674225.9375,12123.7812725081
276,0853,853.0,TULANE,0853,1163,751,0.645743,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,7448299.421875,11588.4590968099
277,0329,329.0,GRAND,0329,1171,1065,0.909479,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,11780517.125,19835.2917526856
278,0180,180.0,COYOTE LAKES,0180,405,246,0.607407,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,7331281.97265625,13993.8099245336
279,0867,867.0,VELERO,0867,415,270,0.650602,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1914337.8359375,6196.51291731346
280,0310,310.0,GERONIMO,0310,418,248,0.593301,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1867763.4765625,5790.14062793729
281,0106,106.0,CAREFREE,0106,610,522,0.855737,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,33105314.7539063,39153.1170322731
282,0098,98.0,CAMPBELL PARK,0098,593,374,0.630691,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3901358.64453125,9711.34297708001
283,0163,163.0,CORDES,0163,901,381,0.422863,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,7773885.69140625,12204.4073333628
284,0854,854.0,TUMBLEWEED,0854,1579,483,0.305889,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5559803.90234375,11479.1910449457
285,0693,693.0,RITTENHOUSE,0693,858,527,0.614219,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,12085216.7148438,16698.516076478
286,0912,912.0,WIKIEUP,0912,388,223,0.574742,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2066578.27734375,6158.08226656059
287,0659,659.0,POWDERHORN RANCH,0659,183,137,0.748633,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2315879.3671875,6714.64903676202
288,0717,717.0,SAHUARO RANCH,0717,570,316,0.554385,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3611168.60546875,7609.94506146077
289,0895,895.0,WESTBROOK,0895,735,582,0.791836,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5276064.2734375,9199.97540944051
290,0499,499.0,MAYFLOWER,0499,1391,878,0.6312,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3818105.55078125,7817.4854395429
291,0916,916.0,WILLIAMS FIELD,0916,552,304,0.550724,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,54304796.515625,34282.3129416477
292,0103,103.0,CANYON SPRINGS,0103,379,256,0.675461,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,10189673.1914063,21641.7758216627
293,0740,740.0,SENNIA VISTA,0740,1619,559,0.345274,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,11603921.3046875,18425.2572498533
294,0875,875.0,VINEYARD,0875,1205,694,0.575933,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,11140003.8671875,13508.178119349
295,0689,689.0,RIO MONTANA,0689,492,360,0.731707,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,7486360.2890625,14771.8071012214
296,0387,387.0,HORSESHOE,0387,927,626,0.675296,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5587538.93359375,9717.35727289586
297,0292,292.0,FOXWOOD,0292,524,343,0.65458,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2713051.3828125,6665.45517381977
